Interval,Transfer,Bitrate,Retr,Cwnd
437.00,2.17,18.2,0,154.0
438.00,2.17,18.2,0,154.0
439.00,2.17,18.2,0,154.0
440.00,1.86,15.6,0,154.0
441.00,1.86,15.6,0,154.0
442.00,2.17,18.2,0,154.0
443.00,2.17,18.2,0,154.0
444.00,1.86,15.6,0,154.0
445.00,2.17,18.2,0,154.0
446.00,1.86,15.6,0,154.0
447.00,2.17,18.2,0,154.0
448.00,2.17,18.2,0,154.0
449.00,1.86,15.6,0,154.0
450.00,2.17,18.2,0,154.0
451.00,1.86,15.6,0,154.0
452.00,2.17,18.2,0,154.0
453.00,1.86,15.6,0,154.0
454.00,2.17,18.2,0,154.0
455.00,2.17,18.2,0,154.0
456.00,1.86,15.6,0,154.0
457.00,2.17,18.2,0,154.0
458.00,1.86,15.6,0,154.0
459.00,2.17,18.2,0,154.0
460.00,1.86,15.6,0,154.0
461.00,2.17,18.2,0,154.0
462.00,2.17,18.2,0,154.0
463.00,1.86,15.6,0,154.0
464.00,1.86,15.6,0,154.0
465.00,2.17,18.2,0,154.0
466.00,1.86,15.6,0,154.0
467.00,2.17,18.2,0,154.0
468.00,1.86,15.6,0,154.0
469.00,1.86,15.6,0,154.0
470.00,2.17,18.2,0,154.0
471.00,1.86,15.6,0,154.0
472.00,2.17,18.2,0,154.0
473.00,1.86,15.6,0,154.0
474.00,1.86,15.6,0,154.0
475.00,2.17,18.2,0,154.0
476.00,1.86,15.6,0,154.0
477.00,2.17,18.2,0,154.0
478.00,1.86,15.6,0,154.0
479.00,2.17,18.2,0,154.0
480.00,1.86,15.6,0,154.0
481.00,2.17,18.2,0,154.0
482.00,2.17,18.2,0,154.0
483.00,1.86,15.6,0,154.0
484.00,2.17,18.2,0,154.0
485.00,1.86,15.6,0,154.0
486.00,2.17,18.2,0,154.0
487.00,1.86,15.6,0,154.0
488.00,2.17,18.2,0,154.0
489.00,1.86,15.6,0,154.0
490.00,2.17,18.2,0,154.0
491.00,1.86,15.6,0,154.0
492.00,2.17,18.2,0,154.0
493.00,1.86,15.6,0,154.0
494.00,2.17,18.2,0,154.0
495.00,2.17,18.2,0,154.0
496.00,1.86,15.6,0,154.0
497.00,1.86,15.6,0,154.0
498.00,2.17,18.2,0,154.0
499.00,2.17,18.2,0,154.0
500.00,1.86,15.6,0,154.0
501.00,2.17,18.2,0,154.0
502.00,2.17,18.2,0,154.0
503.00,1.86,15.6,0,154.0
504.00,2.17,18.2,0,154.0
505.00,1.86,15.6,0,154.0
506.00,2.17,18.2,0,154.0
507.00,2.17,18.2,0,154.0
508.00,1.86,15.6,0,154.0
509.00,2.17,18.2,0,154.0
510.00,2.17,18.2,0,154.0
511.00,1.86,15.6,0,154.0
512.00,1.86,15.6,0,154.0
513.00,2.17,18.2,0,154.0
514.00,2.17,18.2,0,154.0
515.00,1.86,15.6,0,154.0
516.00,2.17,18.2,0,154.0
517.00,2.17,18.2,0,154.0
518.00,1.86,15.6,0,154.0
519.00,1.86,15.6,0,154.0
520.00,1.86,15.6,0,154.0
521.00,2.17,18.2,0,154.0
522.00,1.86,15.6,0,154.0
523.00,2.17,18.2,0,154.0
524.00,1.86,15.6,0,154.0
525.00,1.86,15.6,0,154.0
526.00,2.17,18.2,0,154.0
527.00,2.17,18.2,0,154.0
528.00,1.86,15.6,0,154.0
529.00,2.17,18.2,0,154.0
530.00,1.86,15.6,0,154.0
531.00,1.86,15.6,0,154.0
532.00,2.17,18.2,0,154.0
533.00,1.86,15.6,0,154.0
534.00,2.17,18.2,0,154.0
535.00,1.86,15.6,0,154.0
536.00,2.17,18.2,0,154.0
537.00,2.17,18.2,0,154.0
538.00,1.86,15.6,0,154.0
539.00,2.17,18.2,0,154.0
540.00,2.17,18.2,0,154.0
541.00,1.86,15.6,0,154.0
542.00,2.17,18.2,0,154.0
543.00,2.17,18.2,0,154.0
544.00,2.17,18.2,0,154.0
545.00,1.86,15.6,0,154.0
546.00,2.17,18.2,0,154.0
547.00,1.86,15.6,0,154.0
548.00,2.17,18.2,0,154.0
549.00,1.86,15.6,0,154.0
550.00,2.17,18.2,0,154.0
551.00,1.86,15.6,0,154.0
552.00,2.17,18.2,0,154.0
553.00,1.86,15.6,0,154.0
554.00,1.86,15.6,0,154.0
555.00,2.17,18.2,0,154.0
556.00,1.86,15.6,0,154.0
557.00,1.86,15.6,0,154.0
558.00,2.17,18.2,0,154.0
559.00,2.17,18.2,0,154.0
560.00,1.86,15.6,0,154.0
561.00,1.86,15.6,0,154.0
562.00,2.17,18.2,0,154.0
563.00,1.86,15.6,0,154.0
564.00,2.17,18.2,0,154.0
565.00,1.86,15.6,0,154.0
566.00,2.17,18.2,0,154.0
567.00,1.86,15.6,0,154.0
568.00,2.17,18.2,0,154.0
569.00,1.86,15.6,0,154.0
570.00,1.86,15.6,0,154.0
571.00,2.17,18.2,0,154.0
572.00,1.86,15.6,0,154.0
573.00,2.17,18.2,0,154.0
574.00,1.86,15.6,0,154.0
575.00,1.86,15.6,0,154.0
576.00,2.17,18.2,0,154.0
577.00,2.17,18.2,0,154.0
578.00,1.86,15.6,0,154.0
579.00,1.86,15.6,0,154.0
580.00,2.17,18.2,0,154.0
581.00,1.86,15.6,0,154.0
582.00,1.86,15.6,0,154.0
583.00,2.17,18.2,0,154.0
584.00,1.86,15.6,0,154.0
585.00,1.86,15.6,0,154.0
586.00,1.86,15.6,0,154.0
587.00,2.17,18.2,0,154.0
588.00,1.86,15.6,0,154.0
589.00,2.17,18.2,0,154.0
590.00,1.86,15.6,0,154.0
591.00,2.17,18.2,0,154.0
592.00,1.86,15.6,0,154.0
593.00,2.17,18.2,0,154.0
594.00,2.17,18.2,0,154.0
595.00,1.86,15.6,0,154.0
596.00,2.17,18.2,0,154.0
597.00,1.86,15.6,0,154.0
598.00,2.17,18.2,0,154.0
599.00,1.86,15.6,0,154.0
600.00,2.17,18.2,0,154.0
601.00,2.17,18.2,0,154.0
602.00,2.17,18.2,0,154.0
603.00,1.86,15.6,0,154.0
604.00,2.17,18.2,0,154.0
605.00,2.17,18.2,0,154.0
606.00,2.17,18.2,0,154.0
607.00,1.86,15.6,0,154.0
608.00,2.17,18.2,0,154.0
609.00,1.86,15.6,0,154.0
610.00,2.17,18.2,0,154.0
611.00,2.17,18.2,0,154.0
612.00,1.86,15.6,0,154.0
613.00,2.17,18.2,0,154.0
614.00,1.86,15.6,0,154.0
615.00,2.17,18.2,0,154.0
616.00,2.17,18.2,0,154.0
617.00,1.86,15.6,0,154.0
618.00,2.17,18.2,0,154.0
619.00,2.17,18.2,0,154.0
620.00,1.86,15.6,0,154.0
621.00,2.17,18.2,0,154.0
622.00,1.86,15.6,0,154.0
623.00,2.17,18.2,0,154.0
624.00,1.86,15.6,0,154.0
625.00,2.17,18.2,0,154.0
626.00,1.86,15.6,0,154.0
627.00,2.17,18.2,0,154.0
628.00,2.17,18.2,0,154.0
629.00,2.17,18.2,0,154.0
630.00,1.86,15.6,0,154.0
631.00,2.17,18.2,0,154.0
632.00,1.86,15.6,0,154.0
633.00,2.17,18.2,0,154.0
634.00,2.17,18.3,0,154.0
635.00,1.86,15.6,0,154.0
636.00,2.17,18.2,0,154.0
637.00,2.17,18.2,0,154.0
638.00,2.17,18.2,0,154.0
639.00,2.17,18.2,0,154.0
640.00,1.86,15.6,0,154.0
641.00,2.17,18.2,0,154.0
642.00,1.86,15.6,0,154.0
643.00,2.17,18.2,0,154.0
644.00,1.86,15.6,0,154.0
645.00,2.17,18.2,0,154.0
646.00,2.17,18.2,0,154.0
647.00,2.17,18.2,0,154.0
648.00,1.86,15.6,0,154.0
649.00,2.17,18.2,0,154.0
